name,degree,EffectiveSize,Constraint,effciency,hierarhcy,degreeCentrality,closeness,Eigenvector,informationCentrality,betweenCentrality,size,ties,pairs,density,twostepReach,ReachEffic,Broker,nBrock,EgoBetw,nEgoBetw,nWeakComp,pWeakComp,number_of-nodes,number_of_edges,density,inwardlink,outwardlink,inward_type,outward_type,inward_cross,outward_cross,number_alllink,number_alltype,number_allcross,priority,hasComment,length,averfixtime_priority,all_open,7days_open,30days_open,halfYear_open,oneYear_open,all_fix,7days_fix,30days_fix,halfYear_fix,OneYear_fix,avefixtime,avefixtime_7day,avefixtime_30day,avefixtime_halfYear,avefixtime_OneYear,overall_popularity,recent_popularity,relative_popularity,reporter_mean_fix_time,open_bug_reporter,time_diff
YARN-79,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,350,52.96694444,27,4,13,21,27,11,4,11,11,11,42.31902883,12.31671296,42.31902883,42.31902883,42.31902883,0,0,0,0,3,1.789953704
YARN-82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,42,36.30740741,28,4,14,22,28,11,2,11,11,11,42.31902883,0.981365741,42.31902883,42.31902883,42.31902883,0,0,0,0,0,16.50518519
YARN-83,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,1,0,2,2,1,3,1,18,52.96694444,29,5,15,23,29,11,2,11,11,11,42.31902883,0.981365741,42.31902883,42.31902883,42.31902883,0,0,0,0,4,0.935208333
YARN-87,2,0,0,0,1,1,1,0.999999253,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,2,0,1,0,0,0,2,1,0,4,1,73,25.03094522,25,3,12,19,25,16,7,16,16,16,37.67682653,19.89751984,37.67682653,37.67682653,37.67682653,0.75,0.75,1,15.63191744,1,0.161319444
YARN-88,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,1,0,0,2,1,0,3,1,50,43.92196991,25,3,12,19,25,17,8,17,17,17,35.470032,17.43049479,35.470032,35.470032,35.470032,0.8,0.8,1,11.76426794,1,15.05207176
YARN-93,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,55,40.48679503,24,2,11,18,24,19,8,16,19,19,33.59007493,21.58776331,38.16599609,33.59007493,33.59007493,0.666666667,0.666666667,1,11.76426794,2,2.113171296
YARN-94,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,1,0,0,2,1,0,3,1,27,40.48679503,25,3,12,19,25,19,8,16,19,19,33.59007493,21.58776331,38.16599609,33.59007493,33.59007493,0,0,0,0,3,28.90445602
YARN-101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,451,0,8,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.4799421
YARN-102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,26,4,13,20,26,19,8,16,19,19,33.59007493,21.58776331,38.16599609,33.59007493,33.59007493,0.333333333,0.333333333,1,113.6324074,2,22.71950231
YARN-106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,44,35.10475427,25,3,12,19,25,21,4,18,21,21,30.9151659,11.55698495,34.5368332,30.9151659,30.9151659,0.714285714,0.714285714,1,9.834048611,2,15.26840278
YARN-107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,8,35.10475427,26,3,13,20,26,21,2,18,21,21,30.9151659,5.503530093,34.5368332,30.9151659,30.9151659,0.25,0.25,1,113.6324074,3,336.324294
YARN-108,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,4,1,62,20.86799769,27,4,13,21,27,21,2,17,21,21,30.9151659,5.503530093,31.90965278,30.9151659,30.9151659,0.625,0.625,1,9.834048611,3,0.075694444
YARN-109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,33,35.10475427,27,4,13,21,27,22,3,18,22,22,29.51337174,3.694251543,30.14109954,29.51337174,29.51337174,0.666666667,0.666666667,1,8.20765625,3,188.7464352
YARN-116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,121,0,10,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149.4237616
YARN-127,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,0,1,1,0,3,1,18,39.24258753,24,1,6,17,24,26,5,19,26,26,32.20457532,37.62009491,22.16192069,32.20457532,32.20457532,0,0,0,0,4,14.85166667
YARN-130,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,2,1,121,29.70666667,25,1,7,18,25,26,3,19,26,26,32.20457532,53.25320988,22.16192069,32.20457532,32.20457532,0,0,0,0,0,148.1908333
YARN-131,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,56,39.24258753,26,2,8,18,26,26,3,19,26,26,32.20457532,53.25320988,22.16192069,32.20457532,32.20457532,0,0,0,0,0,6.795486111
YARN-133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,32,39.24258753,27,3,8,19,27,26,3,17,26,26,32.20457532,53.25320988,21.98661016,32.20457532,32.20457532,0.571428571,0.571428571,1,28.93182292,3,123.0609144
YARN-136,2,2,0.5,1,1,1,0.5,0.002441988,0,0.5,3,2,6,0.333333333,0,0,0,0,1,0.333333333,2,0.666666667,3,2,1.333333333,1,1,1,1,0,0,2,2,0,3,1,22,37.83234137,27,4,8,19,27,27,2,18,27,27,31.57730967,71.73538773,21.61337641,31.57730967,31.57730967,0,0,0,0,5,20.79715278
YARN-138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,37,0,14,1,3,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6484259
YARN-139,1,1,1,1,1,1,0,0.001410436,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,0,1,0,1,0,1,1,1,1,3,1,210,47.85378899,26,4,9,18,26,29,3,18,29,29,38.57446719,93.78019676,36.28612397,38.57446719,38.57446719,0,0,0,0,0,22.81762731
YARN-140,3,3,0.333333333,1,1,1,0,0.001515353,0,0,4,3,12,0.25,0,0,0,0,0,0,3,0.75,4,3,2.25,0,3,0,1,0,1,3,1,1,3,1,149,47.85378899,27,4,10,19,27,29,3,18,29,29,38.57446719,93.78019676,36.28612397,38.57446719,38.57446719,0,0,0,0,1,17.22399306
YARN-144,3,3,0.333333333,1,1,1,0,0.001515353,0,0,4,3,12,0.25,0,0,0,0,0,0,3,0.75,4,3,2.25,0,3,0,1,0,3,3,1,3,3,1,21,45.80087384,26,3,9,18,26,31,5,18,31,31,37.03788829,62.17111574,31.51349216,37.03788829,37.03788829,0,0,0,0,0,39.40594907
YARN-150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,34,0,16,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.72945602
YARN-151,3,3,0.333333333,1,1,1,0.333333333,0.002364886,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,1,2,1,1,1,0,3,2,1,3,1,50,50.90077324,21,1,8,13,20,37,7,18,37,37,42.04262606,61.44601852,50.96476337,42.04262606,42.04262606,0,0,0,0,0,37.29028935
YARN-155,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,149,50.90077324,22,2,9,14,21,37,6,18,37,37,42.04262606,67.90043789,50.96476337,42.04262606,42.04262606,0.625,0.625,1,33.17903935,3,364.0507639
YARN-159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,69,50.90077324,23,2,9,15,22,37,6,16,37,37,42.04262606,67.90043789,56.64741753,42.04262606,42.04262606,0.555555556,0.555555556,1,33.17903935,4,16.10792824
YARN-161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,34,50.90077324,24,3,10,16,23,37,3,16,37,37,42.04262606,55.93393904,56.64741753,42.04262606,42.04262606,0,0,0,0,0,0.34224537
YARN-163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,75,49.02823517,24,3,10,16,23,38,1,17,38,38,40.94524762,0.34224537,53.33534858,40.94524762,40.94524762,0.8,0.8,1,9.945801505,2,2.7028125
YARN-166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,49,49.18724124,24,3,11,16,23,39,2,18,39,39,41.26666192,26.91132523,53.34340728,41.26666192,41.26666192,0.6,0.6,1,36.56260031,4,13.89553241
YARN-170,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,99,49.52331338,24,3,11,16,23,40,3,17,40,40,41.7083287,37.58532793,58.28081291,41.7083287,41.7083287,0,0,0,0,0,80.71644676
YARN-174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,229,49.52331338,25,4,12,17,24,40,3,17,40,40,41.7083287,37.58532793,58.28081291,41.7083287,41.7083287,0,0,0,0,1,3.168206019
YARN-176,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,3,1,65,46.15312645,23,4,10,15,22,43,6,19,43,43,39.7455141,25.57999035,53.42066277,39.7455141,39.7455141,1,1,1,0.34224537,0,1.556678241
YARN-177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,150,17.40261381,24,5,11,16,23,43,6,18,43,43,39.7455141,25.57999035,55.55225116,39.7455141,39.7455141,0.636363636,0.636363636,1,39.75841931,4,2.54224537
YARN-178,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,46,17.40261381,25,5,12,17,24,43,6,18,43,43,39.7455141,25.57999035,55.55225116,39.7455141,39.7455141,0,0,0,0,0,1.926550926
YARN-179,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,1,0,1,1,1,0,1,42,15.901875,26,6,13,18,25,43,6,18,43,43,39.7455141,25.57999035,55.55225116,39.7455141,39.7455141,0.5,0.6,1.2,21.51775849,3,1.099016204
YARN-180,1,1,1,1,1,0.5,0,2.98E-06,0,0,2,1,2,0.5,1,0.5,0,0,0,0,1,0.5,3,2,1.333333333,0,1,0,1,0,0,1,1,0,4,1,79,17.40261381,27,7,14,19,26,43,6,18,43,43,39.7455141,25.57999035,55.55225116,39.7455141,39.7455141,0.583333333,0.583333333,1,39.75841931,5,1.769247685
YARN-181,1,0,0,0,1,1,1,0.999999005,0,0,2,1,2,0.5,0,0,0,0,0,0,1,0.5,2,1,0.5,1,0,1,0,0,0,1,1,0,4,1,32,17.40261381,26,6,13,18,25,45,8,20,45,45,38.08404424,19.7756033,50.23327025,38.08404424,38.08404424,1,1,1,6.135046296,0,0.872696759
YARN-189,2,2,0.5,1,1,1,0,0.001451963,0,0,3,2,6,0.333333333,0,0,0,0,0,0,2,0.666666667,3,2,1.333333333,0,2,0,2,0,1,2,2,1,0,1,647,8.500445602,21,0,6,13,20,51,8,24,51,51,34.21194853,4.469033565,37.17591725,34.21194853,34.21194853,0.692307692,0.692307692,1,31.4022698,4,2.441064815
YARN-192,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,204,41.47151401,19,0,4,11,18,54,3,25,54,54,32.91210927,10.81484182,26.34377407,32.91210927,32.91210927,0,0,0,0,1,63.3125
YARN-193,3,3,0.333333333,1,1,1,0.333333333,0.002364886,0,0.333333333,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,4,3,2.25,1,2,1,1,0,1,3,2,1,3,1,12,0,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.8620833
YARN-196,3,3,0.333333333,1,1,0.6,0.36,0.003538436,0,0.3,4,3,12,0.25,0,0,0,0,2,0.5,3,0.75,6,5,4.166666667,1,2,1,2,0,0,3,3,0,3,1,591,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.3454398
